screen_code,screen_code_dec,petscii_code,petscii_code_dec,char,unicode,name,keyboard,control_code,byte1,byte2,byte3,byte4,byte5,byte6,byte7,byte8
$12,18,$52,82,R,U+0052,latin capital letter r,,r,$7C,$66,$66,$7C,$78,$6C,$66,$00
$13,19,$53,83,S,U+0053,latin capital letter s,,s,$3C,$66,$60,$3C,$06,$66,$3C,$00
$14,20,$54,84,T,U+0054,latin capital letter t,,t,$7E,$18,$18,$18,$18,$18,$18,$00
$15,21,$55,85,U,U+0055,latin capital letter u,,u,$66,$66,$66,$66,$66,$66,$3C,$00
$16,22,$56,86,V,U+0056,latin capital letter v,,v,$66,$66,$66,$66,$66,$3C,$18,$00
$17,23,$57,87,W,U+0057,latin capital letter w,,w,$63,$63,$63,$6B,$7F,$77,$63,$00
$18,24,$58,88,X,U+0058,latin capital letter x,,x,$66,$66,$3C,$18,$3C,$66,$66,$00
$19,25,$59,89,Y,U+0059,latin capital letter y,,y,$66,$66,$66,$3C,$18,$18,$18,$00
$1A,26,$5A,90,Z,U+005A,latin capital letter z,,z,$7E,$06,$0C,$18,$30,$60,$7E,$00
$1B,27,$5B,91,[,U+005B,left square bracket,shift + :,c= + :,$3C,$30,$30,$30,$30,$30,$3C,$00
$1C,28,$5C,92,£,U+00A3,pound sign,,£,$0C,$12,$30,$7C,$30,$62,$FC,$00
$1D,29,$5D,93,],U+005D,right square bracket,shift + ;,c= + ;,$3C,$0C,$0C,$0C,$0C,$0C,$3C,$00
$1E,30,$5E,94,↑,U+2191,upwards arrow,,↑,$00,$18,$3C,$7E,$18,$18,$18,$18
$1F,31,$5F,95,←,U+2190,leftwards arrow,shift + ←,← / c= + ←,$00,$10,$30,$7F,$7F,$30,$10,$00
$20,32,$20,32,,U+0020,space,,space,$00,$00,$00,$00,$00,$00,$00,$00
$21,33,$21,33,!,U+0021,exclamation mark,shift + 1,,$18,$18,$18,$18,$00,$00,$18,$00
$22,34,$22,34,"""",U+0022,quotation mark,shift + 2,,$66,$66,$66,$00,$00,$00,$00,$00
$23,35,$23,35,#,U+0023,number sign,shift + 3,,$66,$66,$FF,$66,$FF,$66,$66,$00
$24,36,$24,36,$,U+0024,dollar sign,shift + 4,,$18,$3E,$60,$3C,$06,$7C,$18,$00
$25,37,$25,37,%,U+0025,percent sign,shift + 5,,$62,$66,$0C,$18,$30,$66,$46,$00
$26,38,$26,38,&,U+0026,ampersand,shift + 6,,$3C,$66,$3C,$38,$67,$66,$3F,$00
$27,39,$27,39,',U+0027,apostrophe,shift + 7,,$06,$0C,$18,$00,$00,$00,$00,$00
$28,40,$28,40,(,U+0028,left parenthesis,shift + 8,,$0C,$18,$30,$30,$30,$18,$0C,$00
$29,41,$29,41,),U+0029,right parenthesis,shift + 9,c= + 9,$30,$18,$0C,$0C,$0C,$18,$30,$00
$2A,42,$2A,42,*,U+002A,asterisk,,*,$00,$66,$3C,$FF,$3C,$66,$00,$00
$2B,43,$2B,43,+,U+002B,plus sign,,+,$00,$18,$18,$7E,$18,$18,$00,$00
$2C,44,$2C,44,",",U+002C,comma,,",",$00,$00,$00,$00,$00,$18,$18,$30
$2D,45,$2D,45,-,U+002D,hyphen-minus,,-,$00,$00,$00,$7E,$00,$00,$00,$00
